date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:48:28	62892/62892	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202024%2011:15:17%20GMT	https://htmldemo.zcubethemes.com/designit/	C:/My%20Web%20Sites/furnlite/htmldemo.zcubethemes.com/designit/index.html	(from )
22:48:28	358/358	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Aug%202022%2009:24:09%20GMT	https://htmldemo.zcubethemes.com/robots.txt		(from )
22:48:30	766/766	---M--	200	added ('OK')	image/x-icon	date:Sun,%2025%20Jun%202023%2007:59:37%20GMT	https://htmldemo.zcubethemes.com/designit/img/favicon.ico	C:/My%20Web%20Sites/furnlite/htmldemo.zcubethemes.com/designit/img/favicon.ico	(from https://htmldemo.zcubethemes.com/designit/)
22:48:32	155845/155845	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Oct%202023%2016:12:28%20GMT	https://htmldemo.zcubethemes.com/designit/css/bootstrap.min.css	C:/My%20Web%20Sites/furnlite/htmldemo.zcubethemes.com/designit/css/bootstrap.min.css	(from https://htmldemo.zcubethemes.com/designit/)
22:48:33	68606/68606	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Oct%202023%2016:12:27%20GMT	https://htmldemo.zcubethemes.com/designit/css/animate.min.css	C:/My%20Web%20Sites/furnlite/htmldemo.zcubethemes.com/designit/css/animate.min.css	(from https://htmldemo.zcubethemes.com/designit/)
22:48:34	6951/6951	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Oct%202023%2016:12:30%20GMT	https://htmldemo.zcubethemes.com/designit/css/magnific-popup.css	C:/My%20Web%20Sites/furnlite/htmldemo.zcubethemes.com/designit/css/magnific-popup.css	(from https://htmldemo.zcubethemes.com/designit/)
22:48:36	156466/156466	---M--	200	added ('OK')	text/css	date:Sun,%2025%20Jun%202023%2007:59:56%20GMT	https://htmldemo.zcubethemes.com/designit/fontawesome/css/all.min.css	C:/My%20Web%20Sites/furnlite/htmldemo.zcubethemes.com/designit/fontawesome/css/all.min.css	(from https://htmldemo.zcubethemes.com/designit/)
22:48:36	11114/11114	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Oct%202023%2016:12:29%20GMT	https://htmldemo.zcubethemes.com/designit/css/dripicons.css	C:/My%20Web%20Sites/furnlite/htmldemo.zcubethemes.com/designit/css/dripicons.css	(from https://htmldemo.zcubethemes.com/designit/)
22:48:37	1776/1776	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Oct%202023%2016:12:32%20GMT	https://htmldemo.zcubethemes.com/designit/css/slick.css	C:/My%20Web%20Sites/furnlite/htmldemo.zcubethemes.com/designit/css/slick.css	(from https://htmldemo.zcubethemes.com/designit/)
22:48:39	3754/3754	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Oct%202023%2016:12:30%20GMT	https://htmldemo.zcubethemes.com/designit/css/meanmenu.css	C:/My%20Web%20Sites/furnlite/htmldemo.zcubethemes.com/designit/css/meanmenu.css	(from https://htmldemo.zcubethemes.com/designit/)
22:48:40	11814/11814	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Oct%202023%2016:12:28%20GMT	https://htmldemo.zcubethemes.com/designit/css/default.css	C:/My%20Web%20Sites/furnlite/htmldemo.zcubethemes.com/designit/css/default.css	(from https://htmldemo.zcubethemes.com/designit/)
22:48:42	226086/226086	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Oct%202023%2016:12:34%20GMT	https://htmldemo.zcubethemes.com/designit/css/style.css	C:/My%20Web%20Sites/furnlite/htmldemo.zcubethemes.com/designit/css/style.css	(from https://htmldemo.zcubethemes.com/designit/)
22:48:43	46435/46435	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Oct%202023%2016:12:32%20GMT	https://htmldemo.zcubethemes.com/designit/css/responsive.css	C:/My%20Web%20Sites/furnlite/htmldemo.zcubethemes.com/designit/css/responsive.css	(from https://htmldemo.zcubethemes.com/designit/)
22:48:44	62892/62892	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202024%2011:15:17%20GMT	https://htmldemo.zcubethemes.com/designit/index.html	C:/My%20Web%20Sites/furnlite/htmldemo.zcubethemes.com/designit/index-2.html	(from https://htmldemo.zcubethemes.com/designit/)
22:48:45	9634/9634	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Jun%202023%2008:03:31%20GMT	https://htmldemo.zcubethemes.com/designit/img/logo/logo.png	C:/My%20Web%20Sites/furnlite/htmldemo.zcubethemes.com/designit/img/logo/logo.png	(from https://htmldemo.zcubethemes.com/designit/)
22:48:46	58416/58416	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202024%2011:15:17%20GMT	https://htmldemo.zcubethemes.com/designit/index-2.html	C:/My%20Web%20Sites/furnlite/htmldemo.zcubethemes.com/designit/index-3.html	(from https://htmldemo.zcubethemes.com/designit/)
22:48:48	39189/39189	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202024%2011:15:13%20GMT	https://htmldemo.zcubethemes.com/designit/about.html	C:/My%20Web%20Sites/furnlite/htmldemo.zcubethemes.com/designit/about.html	(from https://htmldemo.zcubethemes.com/designit/)
